route_id,service_id,direction_id,trip_id
101,28,0,66682
101,28,0,67009
101,28,0,9519
101,29,0,10332
101,29,0,10434
101,29,0,10676
101,29,0,1068
101,29,0,10743
101,29,0,11555
101,29,0,11569
101,29,0,11829
101,29,0,11864
101,29,0,12059
101,29,0,12468
101,29,0,1314
101,29,0,13747
101,29,0,1426
101,29,0,14648
101,29,0,14665
101,29,0,15963
101,29,0,1624
101,29,0,16406
101,29,0,16420
101,29,0,18003
101,29,0,18383
101,29,0,18557
101,29,0,18626
101,29,0,19051
101,29,0,19226
101,29,0,2029
101,29,0,20712
101,29,0,20867
101,29,0,21713
101,29,0,2206
101,29,0,22702
101,29,0,22987
101,29,0,23003
101,29,0,23509
101,29,0,23517
101,29,0,23958
101,29,0,24418
101,29,0,24801
101,29,0,24984
101,29,0,26055
101,29,0,26126
101,29,0,27726
101,29,0,29127
101,29,0,29634
101,29,0,31739
101,29,0,31844
101,29,0,31941
101,29,0,32826
101,29,0,33295
101,29,0,33706
101,29,0,34967
101,29,0,35810
101,29,0,3601
101,29,0,36357
101,29,0,38254
101,29,0,38519
101,29,0,38845
101,29,0,38984
101,29,0,39682
101,29,0,42834
101,29,0,42962
101,29,0,43657
101,29,0,45623
101,29,0,46330
101,29,0,48153
101,29,0,4860
101,29,0,48680
101,29,0,49535
101,29,0,50697
101,29,0,50796
101,29,0,51337
101,29,0,51457
101,29,0,51785
101,29,0,52751
101,29,0,53407
101,29,0,53786
101,29,0,56004
101,29,0,57316
101,29,0,57490
101,29,0,58074
101,29,0,58112
101,29,0,61090
101,29,0,63622
101,29,0,63741
101,29,0,64694
101,29,0,65166
101,29,0,65374
101,29,0,66197
101,29,0,66837
101,29,0,6717
101,29,0,6838
101,32,0,19868
101,32,0,20117
101,32,0,21665
101,32,0,24173
101,32,0,24834
101,32,0,26054
101,32,0,2617
101,32,0,2967
101,32,0,31223
101,32,0,32248
101,32,0,34980
101,32,0,41059
101,32,0,46387
101,32,0,47689
101,32,0,4876
101,32,0,55778
101,32,0,57050
101,32,0,58161
101,32,0,64388
101,32,0,7396
101,32,0,8618
101,32,0,9669
101,36,0,12984
101,36,0,13099
101,36,0,1560
101,36,0,20054
101,36,0,3329
101,36,0,49368
101,36,0,5143
101,36,0,52760
101,36,0,54125
101,36,0,54458
101,36,0,55331
101,36,0,62375
101,36,0,6308
101,36,0,7032
101,36,0,740
101,36,0,9116
101,4,0,1187
101,4,0,11905
101,4,0,12310
101,4,0,13735
101,4,0,14924
101,4,0,16580
101,4,0,18125
101,4,0,19257
101,4,0,19579
101,4,0,19839
101,4,0,19950
101,4,0,20227
101,4,0,21102
101,4,0,21203
101,4,0,2149
101,4,0,21726
101,4,0,22331
101,4,0,23315
101,4,0,24435
101,4,0,25405
101,4,0,26121
101,4,0,26865
101,4,0,27857
101,4,0,28133
101,4,0,286
101,4,0,30684
101,4,0,31018
101,4,0,3210
101,4,0,32509
101,4,0,32650
101,4,0,33112
101,4,0,33307
101,4,0,33705
101,4,0,34510
101,4,0,35507
101,4,0,35692
101,4,0,35693
101,4,0,35954
101,4,0,37100
101,4,0,37573
101,4,0,39342
101,4,0,40290
101,4,0,40383
101,4,0,40651
101,4,0,42784
101,4,0,42919
101,4,0,43863
101,4,0,44145
101,4,0,44318
101,4,0,44444
101,4,0,4497
101,4,0,45256
101,4,0,45572
