stop_id,stop_name,stop_lat,stop_lon
8895,Lübeck Hbf,53.867546,10.669821
9620,Lübeck Hbf,53.867546,10.669821
6546,Lübeck Hochschulstadtteil,53.830982,10.688902
6220,Lübeck St Jürgen,53.84232,10.702942
2271,Lüblow(Meckl),53.41104,11.464346
9159,Lüblow(Meckl),53.41104,11.464346
4476,Lübs(Magdeburg),52.02021,11.93517
7054,Lübs(Magdeburg),52.02021,11.93517
11955,Lübstorf,53.72888,11.411316
4044,Lübstorf,53.72888,11.411316
12783,Lüdenscheid,51.220352,7.628717
13131,Lüdenscheid-Brügge,51.20792,7.571086
4371,Lüdersdorf(Meckl),53.832924,10.815143
3453,Lüdinghausen,51.762386,7.431312
9921,Lüdinghausen,51.762386,7.431312
1066,Lügde,51.959293,9.25083
5978,Lügde,51.959293,9.25083
12967,Lüneburg,53.249657,10.41989
5685,Lüneburg,53.249657,10.41989
5989,Lüneburg,53.249657,10.41989
7819,Lüneburg,53.249657,10.41989
8117,Lüneburg,53.249657,10.41989
817,Lüneburg,53.249657,10.41989
9133,Lüneburg,53.249657,10.41989
13309,Lünen Hbf,51.61713,7.529485
4566,Lünen Hbf,51.61713,7.529485
8897,Lünen Hbf,51.61713,7.529485
9448,Lünen Hbf,51.61713,7.529485
3582,Lünen-Preußen,51.58815,7.539692
3813,Lünen-Preußen,51.58815,7.539692
10602,Lünern,51.54337,7.760771
2387,Lünern,51.54337,7.760771
4431,Lüssow(Meckl),53.843723,12.13786
942,Lütter,50.4809,9.765536
9504,Lütter,50.4809,9.765536
3077,Lützel,50.967045,8.174364
2463,Lützow,53.655968,11.18043
662,Maasbüll(b Niebüll),54.75445,8.812742
5802,Maastricht,50.849815,5.705876
6211,Maastricht,50.849815,5.705876
8743,Maastricht,50.849957,5.70619
12640,Machern(Sachs),51.357628,12.627757
1860,Machern(Sachs),51.357628,12.627757
13716,Machnin,50.78743,14.9848
9461,Machnin hrad,50.7879,14.969514
12451,Magdeburg Hasselbachplatz,52.122395,11.625322
904,Magdeburg Hasselbachplatz,52.122395,11.625322
12350,Magdeburg Hbf,52.13035,11.626891
1509,Magdeburg Hbf,52.13035,11.626891
3246,Magdeburg Hbf,52.13035,11.626891
3737,Magdeburg Hbf,52.13035,11.626891
5288,Magdeburg Hbf,52.13035,11.626891
6679,Magdeburg Hbf,52.13035,11.626891
729,Magdeburg Hbf,52.13035,11.626891
886,Magdeburg Hbf,52.13035,11.626891
9484,Magdeburg Hbf,52.13035,11.626891
12315,Magdeburg Herrenkrug,52.14545,11.676379
1722,Magdeburg Herrenkrug,52.14545,11.676379
5941,Magdeburg SKET Industriepark,52.097546,11.638277
7516,Magdeburg SKET Industriepark,52.097546,11.638277
8950,Magdeburg SKET Industriepark,52.097546,11.638277
4973,Magdeburg Südost,52.07019,11.669977
9193,Magdeburg Südost,52.07019,11.669977
10668,Magdeburg-Buckau,52.109203,11.63004
3215,Magdeburg-Buckau,52.109203,11.63004
552,Magdeburg-Buckau,52.109203,11.63004
8217,Magdeburg-Buckau,52.109203,11.63004
4975,Magdeburg-Eichenweiler,52.166447,11.657982
8791,Magdeburg-Eichenweiler,52.166447,11.657982
12,Magdeburg-Neustadt,52.14884,11.641703
2896,Magdeburg-Neustadt,52.14884,11.641703
4016,Magdeburg-Neustadt,52.14884,11.641703
7879,Magdeburg-Neustadt,52.14884,11.641703
10350,Magdeburg-Rothensee,52.186756,11.647915
7002,Magdeburg-Rothensee,52.186756,11.647915
1713,Magdeburg-Salbke,52.080746,11.656447
6944,Magdeburg-Salbke,52.080746,11.656447
11419,Magdeburg-Sudenburg,52.120426,11.597136
